Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
2004-2005,LaLiga,34,05-01/05,H,FC Barcelona,Albacete Balompie,2:00,CF,90+1,2:00,Perna esquerda,Ronaldinho
2005-2006,UEFA Champions League,Group Stage,11-02/05,H,FC Barcelona,Panathinaikos Athens,5:00,RW,34,3:00,Perna esquerda,
2005-2006,LaLiga,13,11/27/05,H,FC Barcelona,Racing Santander,4:01,RW,51,2:00,Perna esquerda,Samuel Etoo
2005-2006,LaLiga,19,1/15/06,H,FC Barcelona,Athletic Bilbao,2:01,RW,50,2:01,Perna esquerda,Mark van Bommel
2005-2006,LaLiga,20,1/22/06,H,FC Barcelona,Deportivo Alaves,2:00,CF,82,2:00,Perna esquerda,Ronaldinho
2005-2006,LaLiga,21,1/29/06,A,FC Barcelona,RCD Mallorca,0:03,CF,75,0:02,Perna direita,Sylvinho
2005-2006,LaLiga,21,1/29/06,A,FC Barcelona,RCD Mallorca,0:03,CF,83,0:03,Perna esquerda,Ronaldinho
2005-2006,Copa del Rey,Quarter-Finals,02-01/06,H,FC Barcelona,Real Zaragoza,2:01,CF,42,1:00,Cabeça,Ludovic Giuly
2005-2006,LaLiga,24,2/18/06,H,FC Barcelona,Real Betis Balompie,5:01,RW,84,5:01,Perna esquerda,
2005-2006,Amistoso,Amistoso,03/01/06,A,Argentina,Croácia,2:01,RW,6,2:03,Perna Esquerda,
2005-2006,Copa do Mundo,Fase de grupos,06/16/06,A,Argentina,Sérvia e Montenegro,6:00,RW,88,6:00,Perna direita,Carlos Tevez
2006-2007,LaLiga,1,8/28/06,A,FC Barcelona,Celta de Vigo,2:03,LW,59,1:02,Perna esquerda,Andres Iniesta
2006-2007,LaLiga,2,09/09/06,H,FC Barcelona,CA Osasuna,3:00,RW,36,3:00,Perna esquerda,Samuel Etoo
2006-2007,UEFA Champions League,Group Stage,9/27/06,A,FC Barcelona,SV Werder Bremen,1:01,RW,89,1:01,Perna esquerda,Deco
2006-2007,LaLiga,6,10/15/06,H,FC Barcelona,Sevilla FC,3:01,RW,80,3:01,Perna direita,Xavi
2006-2007,LaLiga,26,03/10/07,H,FC Barcelona,Real Madrid,3:03,RW,11,1:01,Perna esquerda,Samuel Etoo
2006-2007,LaLiga,26,03/10/07,H,FC Barcelona,Real Madrid,3:03,RW,28,2:02,Perna esquerda,
2006-2007,LaLiga,26,03/10/07,H,FC Barcelona,Real Madrid,3:03,RW,90+1,3:03,Perna esquerda,Ronaldinho
2006-2007,LaLiga,27,3/17/07,A,FC Barcelona,Recreativo Huelva,0:04,RW,86,0:04,Perna esquerda,
2006-2007,LaLiga,28,3/31/07,H,FC Barcelona,Deportivo de La Coruaa,2:01,RW,45,1:00,Perna esquerda,Ronaldinho
2006-2007,Copa del Rey,Semi-Finals,4/18/07,H,FC Barcelona,Getafe CF,5:02,RW,29,2:00,Solo run,Xavi
2006-2007,Copa del Rey,Semi-Finals,4/18/07,H,FC Barcelona,Getafe CF,5:02,RW,45,3:00,Perna esquerda,Deco
2006-2007,LaLiga,35,5/20/07,A,FC Barcelona,Atletico de Madrid,0:06,RW,39,0:01,Perna esquerda,Samuel Etoo
2006-2007,LaLiga,35,5/20/07,A,FC Barcelona,Atletico de Madrid,0:06,RW,80,0:05,Perna esquerda,Giovanni van Bronckhorst
2006-2007,Amistoso,Amistoso,06/05/07,A,Argentina,Argélia,2:02,RW,54,3:04,Penalty,
2006-2007,Amistoso,Amistoso,06/05/07,A,Argentina,Argélia,2:04,CF,74,3:04,Perna esquerda,Pablo Aimar
2006-2007,LaLiga,37,06/09/07,H,FC Barcelona,RCD Espanyol Barcelona,2:02,RW,43,1:01,,Gianluca Zambrotta
2006-2007,LaLiga,37,06/09/07,H,FC Barcelona,RCD Espanyol Barcelona,2:02,RW,57,2:01,Perna direita,Deco
2006-2007,LaLiga,38,6/17/07,A,FC Barcelona,Gimnastic de Tarragona,1:05,RW,34,0:02,Perna esquerda,Deco
2006-2007,LaLiga,38,6/17/07,A,FC Barcelona,Gimnastic de Tarragona,1:05,RW,51,0:04,Perna esquerda,Deco
2006-2007,Copa América,Quartas de Final,07/08/07,A,Argentina,Peru,0:04,RW,61,0:02,Perna esquerda,Juan Roman Riquelme
2006-2007,Copa América,Semi-Finals,07/11/07,A,Argentina,México,0:03,RW,61,0:02,Perna esquerda,Carlos Tevez
