Season;Squad;ResultUCL;LgRank;MP;Starts;Min;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR
2004-2005;Barcelona;R16;1st;8;1;160;1;0;1;1;0;0;0;0
2005-2006;Barcelona;W;1st;23;15;1233;7;4;11;7;0;0;2;0
2006-2007;Barcelona;R16;2nd;31;27;2368;15;3;18;15;0;0;3;0
2007-2008;Barcelona;SF;3rd;36;32;2701;16;14;30;11;5;5;4;0
2008-2009;Barcelona;W;1st;43;37;3443;32;16;48;29;3;4;3;0
2009-2010;Barcelona;SF;1st;46;41;3792;42;9;51;41;1;1;3;0
2010-2011;Barcelona;W;1st;46;42;3904;43;22;65;38;5;6;3;0
2011-2012;Barcelona;SF;2nd;48;47;4260;64;21;85;50;14;16;8;0
2012-2013;Barcelona;SF;1st;43;37;3476;54;13;67;50;4;4;1;0
2013-2014;Barcelona;QF;2nd;38;36;3131;36;11;47;27;9;10;2;0
2014-2015;Barcelona;W;1st;51;50;4522;53;24;77;48;5;7;5;0
2015-2016;Barcelona;QF1st;1st;41;39;3479;34;15;49;30;4;8;4;0
2016-2017;Barcelona;QF;2nd;43;41;3640;48;11;59;40;8;9;6;0
2017-2018;Barcelona;QF;1st;46;40;3783;40;14;54;38;2;4;5;0
2018-2019;Barcelona;SF;1st;44;38;3551;48;16;64;43;5;6;3;0
2019-2020;Barcelona;QF;2nd;41;39;3542;28;24;52;23;5;5;6;0
2020-2021;Barcelona;R16;3rd;41;39;3563;35;11;46;28;7;10;4;0
2021-2022;Paris S-G;R16;1st;33;31;2783;11;14;25;9;2;3;1;0
2022-2023;Paris S-G;R16;1st;39;39;3450;20;20;40;20;0;0;0;0
