Season;Age;Squad;Comp;LgRank;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR
2004-2005;17;Barcelona;1. Champions Lg;R16;1;1;90;1;0;0;0;0;0;0;0;0
2005-2006;18;Barcelona;1. Champions Lg;W;6;4;322;3,6;1;1;2;1;0;0;0;0
2006-2007;19;Barcelona;1. Champions Lg;R16;5;4;385;4,3;1;0;1;1;0;0;1;0
2007-2008;20;Barcelona;1. Champions Lg;SF;9;9;728;8,1;6;2;8;5;1;1;2;0
2008-2009;21;Barcelona;1. Champions Lg;W;12;10;927;10,3;9;5;14;9;0;0;1;0
2009-2010;22;Barcelona;1. Champions Lg;SF;11;11;987;11;8;0;8;8;0;0;0;0
2010-2011;23;Barcelona;1. Champions Lg;W;13;11;1046;11,6;12;3;15;11;1;2;0;0
2011-2012;24;Barcelona;1. Champions Lg;SF;11;11;990;11;14;5;19;10;4;5;2;0
2012-2013;25;Barcelona;1. Champions Lg;SF;11;9;826;9,2;8;2;10;8;0;0;0;0
2013-2014;26;Barcelona;1. Champions Lg;QF;7;7;630;7;8;0;8;6;2;2;0;0
2014-2015;27;Barcelona;1. Champions Lg;W;13;13;1147;12,7;10;6;16;10;0;1;1;0
2015-2016;28;Barcelona;1. Champions Lg;QF;7;7;630;7;6;1;7;5;1;1;1;0
2015-2016;28;Barcelona;Super Cup;1st;1;1;120;1,3;2;0;2;2;0;0;0;0
2016-2017;29;Barcelona;1. Champions Lg;QF;9;9;810;9;11;2;13;9;2;2;0;0
2017-2018;30;Barcelona;1. Champions Lg;QF;10;8;783;8,7;6;2;8;6;0;0;2;0
2018-2019;31;Barcelona;1. Champions Lg;SF;10;9;838;9,3;12;3;15;11;1;1;0;0
2019-2020;32;Barcelona;1. Champions Lg;QF;8;7;662;7,4;3;3;6;3;0;0;2;0
2020-2021;33;Barcelona;1. Champions Lg;R16;6;6;540;6;5;2;7;1;4;5;0;0
2021-2022;34;Paris S-G;1. Champions Lg;R16;7;7;630;7;5;0;5;3;2;3;1;0
2022-2023;35;Paris S-G;1. Champions Lg;R16;7;7;613;6,8;4;4;8;4;0;0;0;0
