Season;Age;Squad;Comp;LgRank;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR
2004-2005;17;Barcelona;1. La Liga;1st;7;0;70;0,8;1;0;1;1;0;0;0;0
2005-2006;18;Barcelona;1. La Liga;1st;17;11;911;10,1;6;3;9;6;0;0;2;0
2006-2007;19;Barcelona;1. La Liga;2nd;26;23;1983;22;14;3;17;14;0;0;2;0
2007-2008;20;Barcelona;1. La Liga;3rd;27;23;1973;21,9;10;12;22;6;4;4;2;0
2008-2009;21;Barcelona;1. La Liga;1st;31;27;2516;28;23;11;34;20;3;4;2;0
2009-2010;22;Barcelona;1. La Liga;1st;35;30;2805;31,2;34;9;43;33;1;1;3;0
2010-2011;23;Barcelona;1. La Liga;1st;33;31;2858;31,8;31;19;50;27;4;4;3;0
2011-2012;24;Barcelona;1. La Liga;2nd;37;36;3270;36,3;50;16;66;40;10;11;6;0
2012-2013;25;Barcelona;1. La Liga;1st;32;28;2650;29,4;46;11;57;42;4;4;1;0
2013-2014;26;Barcelona;1. La Liga;2nd;31;29;2501;27,8;28;11;39;21;7;8;2;0
2014-2015;27;Barcelona;1. La Liga;1st;38;37;3375;37,5;43;18;61;38;5;6;4;0
2015-2016;28;Barcelona;1. La Liga;1st;33;31;2729;30,3;26;14;40;23;3;7;3;0
2016-2017;29;Barcelona;1. La Liga;2nd;34;32;2830;31,4;37;9;46;31;6;7;6;0
2017-2018;30;Barcelona;1. La Liga;1st;36;32;3000;33,3;34;12;46;32;2;4;3;0
2018-2019;31;Barcelona;1. La Liga;1st;34;29;2713;30,1;36;13;49;32;4;5;3;0
2019-2020;32;Barcelona;1. La Liga;2nd;33;32;2880;32;25;21;46;20;5;5;4;0
2020-2021;33;Barcelona;1. La Liga;3rd;35;33;3023;33,6;30;9;39;27;3;5;4;0
2021-2022;34;Paris S-G;1. Ligue 1;1st;26;24;2153;23,9;6;14;20;6;0;0;0;0
2022-2023;35;Paris S-G;1. Ligue 1;1st;32;32;2837;31,5;16;16;32;16;0;0;0;0
